timestamp,child_id,state_index,utility_score,reflection_depth
2026-06-03 02:30:55,56ab24c15b,105,1.0,0.0
2026-06-03 02:31:24,5da248ea68,105,0.5,0.0
2026-06-03 02:31:50,5da248ea68,105,1.0,0.0
2026-06-03 02:36:42,56ab24c15b,105,1.0,0.0
2026-06-03 02:37:04,56ab24c15b,105,0.5,0.0
2026-06-03 02:37:12,56ab24c15b,105,0.5,0.0
2026-06-03 02:37:17,56ab24c15b,105,0.5,0.0
2026-06-03 02:37:25,56ab24c15b,105,1.0,0.0
2026-06-03 02:39:12,5da248ea68,105,1.0,0.0
2026-06-03 02:39:21,5da248ea68,105,0.5,0.0
2026-06-03 02:40:56,5da248ea68,105,0.5,0.0
2026-06-03 02:41:25,56ab24c15b,105,0.5,0.0
2026-06-03 02:43:00,eb88d76369,105,0.5,0.0
2026-06-03 02:43:28,5da248ea68,105,0.5,0.0
2026-06-03 02:52:52,5da248ea68,105,0.5,0.0
2026-06-03 02:53:17,56ab24c15b,105,1.0,0.0
2026-06-03 02:53:43,5da248ea68,105,0.5,0.0
2026-06-03 02:54:15,5da248ea68,105,0.5,0.0
2026-06-03 02:55:24,5da248ea68,105,0.5,0.0
2026-06-03 03:00:15,4f033a0a2b,105,0.5,0.5
2026-06-03 03:00:40,4f033a0a2b,105,0.5,0.5
2026-06-03 03:00:47,4f033a0a2b,105,0.5,0.5
2026-06-03 03:06:03,4f033a0a2b,105,0.5,0.5
2026-06-03 03:06:23,4f033a0a2b,105,0.5,0.5
2026-06-03 03:11:22,4f033a0a2b,105,0.5,0.5
2026-06-03 03:11:32,4f033a0a2b,105,0.5,0.5
2026-06-03 03:14:24,17540aef7b,103,-0.7,0.5
2026-06-03 03:14:37,17540aef7b,103,-0.7,0.5
2026-06-03 03:14:42,17540aef7b,103,-0.7,0.5
2026-06-03 03:14:50,17540aef7b,103,-0.7,0.5
2026-06-03 03:14:57,17540aef7b,103,-0.7,0.5
2026-06-03 03:15:02,17540aef7b,103,-0.7,0.5
2026-06-03 03:15:04,17540aef7b,103,-0.7,0.5
2026-06-03 03:17:48,4f033a0a2b,105,0.5,1.0
2026-06-03 03:17:55,4f033a0a2b,105,0.5,0.5
2026-06-03 03:21:49,17540aef7b,101,-0.8,0.5
2026-06-03 03:21:56,17540aef7b,101,-0.8,0.5
2026-06-03 03:22:03,17540aef7b,101,-0.8,0.5
2026-06-03 03:22:08,17540aef7b,101,-0.8,0.5
2026-06-03 03:24:44,4f033a0a2b,107,1.0,0.5
2026-06-03 03:24:52,4f033a0a2b,107,1.0,0.5
2026-06-03 03:25:01,4f033a0a2b,107,1.0,0.5
2026-06-03 03:29:12,4f033a0a2b,105,0.5,0.5
2026-06-03 03:29:23,4f033a0a2b,105,0.5,0.5
2026-06-03 03:33:07,4f033a0a2b,105,0.5,0.5
2026-06-03 03:33:15,4f033a0a2b,105,0.5,0.5
2026-06-03 03:33:19,4f033a0a2b,105,0.5,0.5
2026-06-03 03:36:02,17540aef7b,105,0.5,0.5
2026-06-03 03:36:10,17540aef7b,105,0.5,0.5
2026-06-03 03:36:25,17540aef7b,105,0.5,1.0
2026-06-03 03:38:48,17540aef7b,105,0.5,0.5
2026-06-03 03:38:54,17540aef7b,105,0.5,0.5
2026-06-03 03:42:27,4f033a0a2b,105,0.5,0.5
2026-06-03 03:42:36,4f033a0a2b,105,0.5,0.5
2026-06-03 03:51:02,17540aef7b,105,0.5,0.5
2026-06-03 03:51:23,17540aef7b,105,0.5,0.5
2026-06-03 03:51:43,17540aef7b,105,0.5,0.5
2026-06-03 03:59:01,17540aef7b,101,-0.8,0.5
2026-06-03 03:59:32,17540aef7b,101,-0.8,0.5
2026-06-03 04:03:28,17540aef7b,105,0.5,0.5
2026-06-03 04:03:47,17540aef7b,105,0.5,0.5
2026-06-03 04:04:03,17540aef7b,105,0.5,0.5
2026-06-03 08:45:11,17540aef7b,105,0.5,0.5
2026-06-03 08:45:51,17540aef7b,105,0.5,1.0
2026-06-03 08:46:43,17540aef7b,105,0.5,1.0
2026-06-03 08:47:26,17540aef7b,105,0.5,1.0
2026-06-03 08:53:46,17540aef7b,105,0.5,0.5
2026-06-03 08:54:12,17540aef7b,105,0.5,0.5
2026-06-03 09:01:52,17540aef7b,105,0.5,0.5
2026-06-03 09:06:32,17540aef7b,105,0.5,0.5
2026-06-03 09:10:10,4f033a0a2b,105,0.5,0.5
2026-06-03 09:10:41,4f033a0a2b,105,0.5,0.5
2026-06-03 09:11:02,4f033a0a2b,105,0.5,1.0
2026-06-03 09:12:19,4f033a0a2b,105,0.5,0.5
2026-06-03 09:12:50,4f033a0a2b,105,0.5,1.0
2026-06-03 09:13:15,4f033a0a2b,105,0.5,0.5
2026-06-03 09:18:41,4f033a0a2b,105,0.5,0.5
2026-06-03 09:58:50,4f033a0a2b,105,0.5,0.5
2026-06-03 09:59:29,4f033a0a2b,105,0.5,0.5
2026-06-03 10:00:12,4f033a0a2b,105,0.5,0.5
2026-06-03 16:55:14,4f033a0a2b,103,-0.7,0.5
2026-06-03 16:56:34,4f033a0a2b,103,-0.7,0.5
2026-06-03 16:57:28,4f033a0a2b,103,-0.7,0.5
2026-06-03 17:19:59,d31cb1e2b7,107,1.0,0.5
2026-06-07 22:31:22,4f033a0a2b,107,1.0,0.5
2026-06-07 22:31:48,4f033a0a2b,107,1.0,0.5
2026-06-07 22:32:18,4f033a0a2b,107,1.0,1.0
